year,quarter,quarter_label,start_date,end_date,months_included,total_days_sampled,mean_brightness,max_brightness,bright_pixel_ratio
2013,1,Jan-Mar,2013-01-01,2013-03-31,3,90,0.5247532187735929,0.996078431372549,0.6847818986933683
2013,2,Apr-Jun,2013-04-01,2013-06-30,3,91,0.4517053025898827,0.996078431372549,0.5887408522500995
2013,3,Jul-Sep,2013-07-01,2013-09-30,3,92,0.47798678431314706,0.996078431372549,0.6370562511615558
2013,4,Oct-Dec,2013-10-01,2013-12-31,3,92,0.5621538992592362,0.996078431372549,0.7419307341032789
2014,1,Jan-Mar,2014-01-01,2014-03-31,3,90,0.532918710376491,0.996078431372549,0.7067047789725209
2014,2,Apr-Jun,2014-04-01,2014-06-30,3,91,0.471799858193737,0.996078431372549,0.6168083083322271
2014,3,Jul-Sep,2014-07-01,2014-09-30,3,92,0.4879769394435001,0.996078431372549,0.6519957396344971
2014,4,Oct-Dec,2014-10-01,2014-12-31,3,92,0.5340728716066158,0.996078431372549,0.7275225877251206
2015,1,Jan-Mar,2015-01-01,2015-03-31,3,89,0.53599171423675,0.996078431372549,0.713411503950519
2015,2,Apr-Jun,2015-04-01,2015-06-30,3,91,0.4571684862578511,0.996078431372549,0.5905485676357362
2015,3,Jul-Sep,2015-07-01,2015-09-30,3,92,0.4771635858408912,0.996078431372549,0.6406226673746627
2015,4,Oct-Dec,2015-10-01,2015-12-31,3,92,0.548281690900199,0.996078431372549,0.7382468870303995
2016,1,Jan-Mar,2016-01-01,2016-03-31,3,91,0.5187905836361928,0.996078431372549,0.6760298063234412
2016,2,Apr-Jun,2016-04-01,2016-06-30,3,91,0.42216278161998605,0.996078431372549,0.5390344466569317
2016,3,Jul-Sep,2016-07-01,2016-09-30,3,92,0.4773453041840303,0.996078431372549,0.6518128288862338
2016,4,Oct-Dec,2016-10-01,2016-12-31,3,92,0.5400451407086958,0.996078431372549,0.7496574857294571
2017,1,Jan-Mar,2017-01-01,2017-03-31,3,90,0.512087994715564,0.996078431372549,0.6695838159716296
2017,2,Apr-Jun,2017-04-01,2017-06-30,3,91,0.45367057039888686,0.996078431372549,0.589228318952166
2017,3,Jul-Sep,2017-07-01,2017-09-30,3,92,0.4623669140348914,0.996078431372549,0.6263128757909642
2017,4,Oct-Dec,2017-10-01,2017-12-31,3,92,0.5227325714244399,0.996078431372549,0.7121698712332405
2018,1,Jan-Mar,2018-01-01,2018-03-31,3,90,0.5509598963613942,0.996078431372549,0.7319930543702945
